#;Clã;Nome do Clã;Jogador;Tag;TH;Cargo
1;1;SpamiReza;SR • C∆iç∆r∆;#GL0PRCU9L;18;Líder
2;1;SpamiReza;MAJ0R FiV3;#QRJL0RGQR;18;Co-líder
3;1;SpamiReza;Neskau;#P8GLGPRP;18;Co-líder
4;1;SpamiReza;SR • InTheDark☆;#PQRRG2YCP;18;Co-líder
5;1;SpamiReza;Araújo V;#20CJ9Y8LQ;18;Ancião
6;1;SpamiReza;Dog Apollo;#YJ9R2GPJG;18;Ancião
7;1;SpamiReza;Henrique Nerath;#2U8P0YQ92;18;Ancião
8;1;SpamiReza;Jan;#2899CRJG;18;Ancião
9;1;SpamiReza;KingMpg;#22YJPYPCJ;18;Ancião
10;1;SpamiReza;KingOfBilada™;#92PQV82G0;18;Ancião
11;1;SpamiReza;Levi_Neiva;#C8R989YJ;18;Ancião
12;1;SpamiReza;MAJ0R FiV3;#LCR9YQGYY;18;Ancião
13;1;SpamiReza;Nesk;#99220V0Q8;18;Ancião
14;1;SpamiReza;SR . João V.;#QP9GY9G;18;Ancião
15;1;SpamiReza;SR • Giovanelli;#PJ0YJLGJ;18;Ancião
16;1;SpamiReza;SR • JON SNOW;#LYV2J2LU;18;Ancião
17;1;SpamiReza;tozim;#9G22U9U2Y;18;Ancião
18;1;SpamiReza;☆VILA DO PX ツ;#8PUL8JPC;18;Ancião
1;2;RezaSpamandu;SR • DuM∆R;#YQRJL098P;18;Líder
2;2;RezaSpamandu;LEANDRO;#QPCRCR8VY;18;Co-líder
3;2;RezaSpamandu;SR - JON SNOW 2;#9VV909C89;18;Co-líder
4;2;RezaSpamandu;Sr • Pbalestra;#2YP8QV8J9;18;Co-líder
5;2;RezaSpamandu;Agnes;#LLLU0VQCL;18;Ancião
6;2;RezaSpamandu;GSAzevedo30;#CJLVVL9L;18;Ancião
7;2;RezaSpamandu;lanterna verde;#2J2QL8JRP;18;Ancião
8;2;RezaSpamandu;LSWRTH;#YVU0L88P;18;Ancião
9;2;RezaSpamandu;NoBlitzz;#9RJGGUY9R;18;Ancião
10;2;RezaSpamandu;Psico 2k25;#Q2UJJ89VG;18;Ancião
11;2;RezaSpamandu;Reikan;#GJYRCJ0PR;18;Ancião
12;2;RezaSpamandu;Sene;#8JQJYQC;18;Ancião
13;2;RezaSpamandu;SR . Kcatoyo;#20GJVUJLU;18;Ancião
14;2;RezaSpamandu;SrNunes;#2LY8G8Y9;18;Ancião
15;2;RezaSpamandu;SR•GOD kratos;#LUJ9CRJQG;18;Ancião
16;2;RezaSpamandu;TomorrowBr;#YPJLVPL9U;18;Ancião
17;2;RezaSpamandu;•JARLINHO♾2⏫;#9YQC99RPY;18;Ancião
18;2;RezaSpamandu;Crypt Myers;#QLRJLCY0Y;13;Ancião
19;2;RezaSpamandu;Levi_Neiva 2;#90GRYGJVP;18;Membro
20;2;RezaSpamandu;ROBERTHWILLIAMM;#G2V22VQUY;18;Membro
21;2;RezaSpamandu;Luanzin OKD ✌️;#PPQCRYC8U;16;Membro
1;3;ScamiReza;SR • One☆;#Q9PL0CUU;17;Líder
2;3;ScamiReza;Duff;#QQC298JUC;18;Co-líder
3;3;ScamiReza;SR • Balestra;#8UJY9C8RQ;18;Co-líder
4;3;ScamiReza;Nesk';#YCRJU229;17;Co-líder
5;3;ScamiReza;GPM Level 1;#QV2J0YV0V;18;Ancião
6;3;ScamiReza;MattosxP;#LU2PQ0CU8;18;Ancião
7;3;ScamiReza;nogz;#GV09299QL;18;Ancião
8;3;ScamiReza;nonick;#G890RJVCR;18;Ancião
9;3;ScamiReza;rei do crime;#RP8VCCUV;18;Ancião
10;3;ScamiReza;SR • The off;#YJ2JLPQGR;18;Ancião
11;3;ScamiReza;SR • THIAGO;#89G0YGUJY;18;Ancião
12;3;ScamiReza;乂 ALIFER 乂;#2LLJ9JUYJ;18;Ancião
13;3;ScamiReza;乂Maciel乂;#9LCP9VPP;18;Ancião
14;3;ScamiReza;ＬＵＭＩＮＯＵＳ;#2LLYCQPG8;18;Ancião
15;3;ScamiReza;ayumatsui;#QPJ209J89;17;Ancião
16;3;ScamiReza;F4KER;#QQQ8VQPL0;17;Ancião
17;3;ScamiReza;SR • GPM 2;#Q22CCP90J;17;Ancião
18;3;ScamiReza;·Holtser Ω;#8GG88V2PU;17;Ancião
19;3;ScamiReza;Auki;#PRLJY29Y0;18;Membro
20;3;ScamiReza;dvnly;#QR2JLQ2RR;18;Membro
21;3;ScamiReza;irmão do jorel;#P2JCQRPGJ;18;Membro
22;3;ScamiReza;Lider Andre;#20UUPGPCV;18;Membro
23;3;ScamiReza;Ligeirinh0xD;#GRR2G9LP0;18;Membro
24;3;ScamiReza;matias?;#RCQQUGC9;18;Membro
25;3;ScamiReza;Monesy;#2YGJQG22G;18;Membro
26;3;ScamiReza;PaiDeFamilia;#2GCJ8QC92;18;Membro
